feature,coefficient
sms_send,6666.3448508268775
cos_yearly,5563.85001306845
average_price,-4782.806551737426
promotions,-3199.513770146175
google_spend_residual,-3163.151254066637
instagram_spend_transformed,2417.2279143171086
tiktok_spend_transformed,2095.042353774803
sin_biannual,1637.7675520522637
snapchat_spend_transformed,1339.9098903621232
social_followers,933.4166625432276
trend,851.8627624532628
sin_yearly,-473.192339524232
week_of_year,-275.19651282258775
emails_send,222.90476415543023
facebook_spend_transformed,209.12859049639715
